iter	Passed	Remaining
269	2952	7981
270	2960	7964
271	2973	7957
272	2985	7951
273	2995	7937
274	3005	7923
275	3017	7914
276	3026	7899
277	3035	7882
278	3045	7870
279	3056	7859
280	3066	7845
281	3080	7844
282	3090	7831
283	3100	7816
284	3111	7805
285	3122	7795
286	3132	7781
287	3141	7765
288	3153	7758
289	3162	7743
290	3174	7734
291	3186	7726
292	3196	7713
293	3206	7699
294	3217	7689
295	3227	7675
296	3237	7662
297	3247	7650
298	3258	7640
299	3270	7631
300	3283	7625
301	3293	7611
302	3303	7600
303	3315	7591
304	3325	7576
305	3334	7563
306	3344	7550
307	3356	7540
308	3367	7531
309	3380	7525
310	3391	7514
311	3400	7499
312	3412	7489
313	3423	7479
314	3432	7463
315	3442	7450
316	3454	7443
317	3464	7429
318	3476	7421
319	3489	7415
320	3499	7402
321	3508	7388
322	3520	7378
323	3529	7364
324	3538	7349
325	3548	7337
326	3559	7326
327	3571	7316
328	3583	7308
329	3594	7298
330	3605	7286
331	3616	7275
332	3625	7262
333	3636	7251
334	3646	7237
335	3657	7228
336	3668	7217
337	3680	7209
338	3691	7198
339	3702	7186
340	3713	7175
341	3724	7166
342	3734	7152
343	3745	7142
344	3756	7131
345	3765	7117
346	3779	7112
347	3790	7101
348	3801	7091
349	3812	7079
350	3824	7072
351	3835	7060
352	3845	7049
353	3855	7034
354	3869	7029
355	3879	7018
356	3890	7007
357	3902	6997
358	3911	6983
359	3923	6975
360	3933	6962
361	3942	6947
362	3951	6934
363	3962	6923
364	3974	6914
365	3985	6903
366	3997	6894
367	4005	6879
368	4019	6873
369	4028	6859
370	4036	6844
371	4047	6832
372	4056	6818
373	4068	6810
374	4081	6801
375	4089	6787
376	4101	6777
377	4112	6766
378	4123	6756
379	4132	6742
380	4142	6730
381	4151	6715
382	4161	6703
383	4175	6697
384	4184	6685
385	4195	6673
386	4207	6665
387	4219	6654
388	4229	6643
389	4239	6630
390	4247	6616
391	4258	6604
392	4271	6597
393	4281	6585
394	4292	6574
395	4304	6564
396	4314	6553
397	4326	6544
398	4336	6531
399	4345	6518
400	4355	6506
401	4367	6496
402	4379	6488
403	4389	6476
404	4400	6464
405	4411	6453
406	4423	6444
407	4431	6430
408	4441	6417
409	4450	6404
410	4460	6392
411	4472	6383
412	4484	6373
413	4492	6359
414	4504	6349
415	4516	6341
416	4527	6329
417	4537	6318
418	4547	6305
419	4555	6291
420	4569	6284
421	4580	6274
422	4589	6260
423	4601	6250
424	4611	6238
425	4626	6233
426	4636	6221
427	4645	6208
428	4656	6198
429	4667	6187
430	4678	6176
431	4688	6164
432	4698	6152
433	4706	6138
434	4721	6132
435	4733	6122
436	4741	6108
437	4750	6095
438	4763	6086
439	4776	6078
440	4785	6066
441	4795	6054
442	4808	6046
443	4821	6037
444	4833	6027
445	4843	6016
446	4854	6005
447	4864	5993
448	4876	5984
449	4887	5973
450	4897	5961
451	4906	5948
452	4916	5936
453	4930	5929
454	4941	5918
455	4950	5906
456	4961	5895
457	4974	5886
458	4985	5876
459	4995	5864
460	5005	5852
461	5014	5839
462	5028	5831
463	5039	5821
464	5051	5811
465	5060	5798
466	5072	5789
467	5085	5780
468	5095	5768
469	5104	5755
470	5113	5743
471	5124	5732
472	5136	5722
473	5146	5710
474	5156	5699
475	5166	5687
476	5179	5678
477	5190	5668
478	5200	5657
479	5209	5643
480	5219	5631
481	5233	5624
482	5243	5612
483	5253	5600
484	5263	5589
485	5276	5580
486	5287	5569
487	5298	5559
488	5308	5547
489	5317	5534
490	5331	5526
491	5342	5516
492	5352	5504
493	5361	5491
494	5373	5481
495	5385	5472
496	5394	5459
497	5405	5448
498	5415	5437
499	5426	5426
500	5439	5417
501	5450	5406
502	5459	5394
503	5470	5383
504	5483	5374
505	5493	5363
506	5502	5350
507	5513	5339
508	5523	5328
509	5533	5316
510	5545	5307
511	5556	5295
512	5566	5284
513	5579	5275
514	5589	5264
515	5599	5252
516	5608	5239
517	5620	5229
518	5632	5220
519	5643	5208
520	5653	5198
521	5665	5187
522	5677	5178
523	5689	5168
524	5699	5156
525	5709	5144
526	5720	5134
527	5731	5123
528	5741	5111
529	5754	5102
530	5763	5090
531	5776	5081
532	5790	5073
533	5800	5062
534	5811	5050
535	5820	5038
536	5834	5030
537	5844	5018
538	5856	5008
539	5865	4996
540	5878	4987
541	5891	4978
542	5901	4966
543	5910	4954
544	5921	4943
545	5931	4932
546	5942	4921
547	5954	4911
548	5965	4900
549	5977	4890
550	5989	4880
551	5999	4869
552	6009	4857
553	6018	4845
554	6029	4834
555	6042	4825
556	6051	4813
557	6064	4803
558	6076	4794
559	6089	4784
560	6098	4772
561	6108	4760
562	6119	4749
563	6127	4737
564	6140	4727
565	6151	4716
566	6164	4707
567	6175	4697
568	6189	4688
569	6199	4676
570	6209	4665
571	6218	4652
572	6227	4640
573	6239	4630
574	6248	4618
575	6259	4607
576	6270	4597
577	6284	4588
578	6296	4578
579	6309	4568
580	6319	4557
581	6329	4545
582	6341	4535
583	6351	4524
584	6360	4512
585	6371	4501
586	6387	4493
587	6399	4483
588	6408	4471
589	6417	4459
590	6427	4448
591	6439	4437
592	6448	4425
593	6458	4414
594	6468	4402
595	6480	4393
596	6494	4384
597	6504	4372
598	6515	4361
599	6524	4349
600	6534	4338
601	6546	4328
602	6555	4316
603	6566	4304
604	6579	4295
605	6592	4286
606	6604	4275
607	6614	4264
608	6623	4252
609	6634	4241
610	6646	4231
611	6655	4219
612	6666	4208
613	6677	4197
614	6690	4188
615	6703	4178
616	6713	4167
617	6723	4156
618	6735	4145
619	6746	4134
620	6755	4122
621	6767	4112
622	6778	4101
623	6794	4094
624	6804	4082
625	6813	4070
626	6824	4060
627	6834	4048
628	6845	4037
629	6855	4026
630	6865	4014
631	6874	4002
632	6888	3993
633	6900	3983
634	6912	3973
635	6921	3961
636	6931	3950
637	6945	3940
638	6954	3928
639	6962	3916
640	6972	3905
641	6985	3895
642	6999	3886
643	7008	3874
644	7021	3864
645	7031	3853
646	7043	3842
647	7053	3831
648	7063	3820
649	7073	3808
650	7084	3797
651	7098	3788
652	7110	3778
653	7120	3767
654	7129	3755
655	7141	3744
656	7151	3733
657	7160	3721
658	7170	3710
659	7180	3698
660	7193	3689
661	7206	3679
662	7217	3668
663	7226	3656
664	7237	3645
665	7249	3635
666	7259	3624
667	7267	3612
668	7278	3601
669	7291	3591
670	7304	3581
671	7314	3570
672	7324	3558
673	7334	3547
674	7346	3537
675	7355	3525
676	7366	3514
677	7374	3502
678	7385	3491
679	7399	3482
680	7412	3472
681	7420	3460
682	7430	3448
683	7443	3438
684	7452	3427
685	7462	3415
686	7472	3404
687	7482	3393
688	7495	3383
689	7509	3374
690	7520	3362
691	7532	3352
692	7544	3342
693	7554	3330
694	7565	3319
695	7574	3308
696	7584	3296
697	7599	3288
698	7613	3278
699	7623	3267
700	7632	3255
701	7644	3244
702	7654	3233
703	7663	3222
704	7673	3210
705	7683	3199
706	7695	3189
707	7710	3179
708	7721	3169
709	7732	3158
710	7746	3148
711	7757	3137
712	7767	3126
713	7777	3115
714	7786	3103
715	7799	3093
716	7813	3084
717	7823	3072
718	7832	3060
719	7842	3049
720	7854	3039
721	7864	3027
722	7874	3017
723	7884	3005
724	7896	2995
725	7909	2985
726	7921	2974
727	7931	2963
728	7940	2951
729	7952	2941
730	7963	2930
731	7974	2919
732	7984	2908
733	7996	2897
734	8010	2887
735	8022	2877
736	8031	2866
737	8042	2855
738	8054	2844
739	8062	2832
740	8072	2821
741	8082	2810
742	8092	2799
743	8105	2789
744	8118	2778
745	8128	2767
746	8137	2756
747	8149	2745
748	8161	2735
749	8170	2723
750	8179	2712
751	8191	2701
752	8204	2691
753	8215	2680
754	8227	2669
755	8237	2658
756	8247	2647
757	8259	2636
758	8271	2626
759	8281	2615
760	8291	2603
761	8304	2593
762	8316	2583
763	8329	2572
764	8339	2561
765	8349	2550
766	8361	2540
767	8372	2529
768	8381	2517
769	8392	2506
770	8406	2496
771	8416	2485
772	8428	2475
773	8438	2463
774	8449	2453
775	8461	2442
776	8470	2431
777	8480	2419
778	8489	2408
779	8502	2398
780	8515	2387
781	8526	2376
782	8537	2366
783	8546	2354
784	8560	2344
785	8570	2333
786	8579	2322
787	8589	2310
788	8602	2300
789	8613	2289
790	8623	2278
791	8635	2268
792	8646	2256
793	8657	2246
794	8667	2235
795	8678	2224
796	8687	2212
797	8701	2202
798	8713	2192
799	8725	2181
800	8739	2171
801	8748	2159
802	8760	2149
803	8771	2138
804	8781	2127
805	8790	2115
806	8804	2105
807	8817	2095
808	8827	2084
809	8837	2072
810	8849	2062
811	8861	2051
812	8871	2040
813	8881	2029
814	8891	2018
815	8904	2007
816	8916	1997
817	8927	1986
818	8937	1975
819	8948	1964
820	8962	1953
821	8972	1942
822	8983	1931
823	8992	1920
824	9005	1910
825	9019	1900
826	9029	1888
827	9038	1877
828	9049	1866
829	9062	1856
830	9072	1845
831	9082	1833
832	9092	1822
833	9103	1811
834	9115	1801
835	9126	1790
836	9136	1779
837	9145	1767
838	9158	1757
839	9169	1746
840	9179	1735
841	9189	1724
842	9202	1713
843	9213	1702
844	9224	1692
845	9234	1680
846	9243	1669
847	9253	1658
848	9267	1648
849	9277	1637
850	9287	1626
851	9297	1615
852	9310	1604
853	9323	1593
854	9332	1582
855	9342	1571
856	9354	1560
857	9367	1550
858	9377	1539
859	9388	1528
860	9398	1517
861	9410	1506
862	9422	1495
863	9433	1484
864	9443	1473
865	9453	1462
866	9465	1451
867	9477	1441
868	9486	1430
869	9496	1419
870	9508	1408
871	9523	1397
872	9533	1386
873	9543	1375
874	9553	1364
875	9565	1353
876	9577	1343
877	9588	1332
878	9598	1321
879	9609	1310
880	9622	1299
881	9632	1288
882	9642	1277
883	9652	1266
884	9664	1255
885	9677	1245
886	9689	1234
887	9698	1223
888	9712	1212
889	9725	1202
890	9735	1191
891	9744	1179
892	9754	1168
893	9767	1158
894	9780	1147
895	9789	1136
896	9802	1125
897	9814	1114
898	9825	1103
899	9834	1092
900	9845	1081
901	9855	1070
902	9866	1059
903	9878	1049
904	9889	1038
905	9899	1027
906	9909	1016
907	9925	1005
908	9933	994
909	9942	983
910	9953	972
911	9962	961
912	9973	950
913	9986	939
914	9997	928
915	10008	917
916	10019	906
917	10031	896
918	10041	885
919	10050	873
920	10060	862
921	10072	852
922	10085	841
923	10095	830
924	10105	819
925	10117	808
926	10129	797
927	10139	786
928	10149	775
929	10157	764
930	10167	753
931	10179	742
932	10190	731
933	10200	720
934	10211	709
935	10224	699
936	10234	688
937	10245	677
938	10254	666
939	10263	655
940	10275	644
941	10288	633
942	10297	622
943	10307	611
944	10320	600
945	10332	589
946	10341	578
947	10351	567
948	10361	556
949	10370	545
950	10384	535
951	10395	524
952	10404	513
953	10416	502
954	10430	491
955	10439	480
956	10449	469
957	10459	458
958	10469	447
959	10482	436
960	10495	425
961	10504	414
962	10516	404
963	10527	393
964	10540	382
965	10550	371
966	10561	360
967	10571	349
968	10582	338
969	10595	327
970	10604	316
971	10614	305
972	10629	294
973	10639	284
974	10648	273
975	10659	262
976	10668	251
977	10683	240
978	10696	229
979	10705	218
980	10718	207
981	10727	196
982	10738	185
983	10748	174
984	10758	163
985	10767	152
986	10780	141
987	10792	131
988	10802	120
989	10814	109
990	10824	98
991	10836	87
992	10847	76
993	10856	65
994	10867	54
995	10877	43
996	10888	32
997	10902	21
998	10912	10
999	10923	0
