iter	Logloss
231	0.420435995
232	0.4203550702
233	0.4202490941
234	0.4201591741
235	0.4200696252
236	0.4199896081
237	0.4198911041
238	0.4198109167
239	0.4197187806
240	0.4196179822
241	0.4195157304
242	0.4194202492
243	0.419341136
244	0.4192474267
245	0.4191658277
246	0.4190485676
247	0.418966912
248	0.4187316352
249	0.4186158121
250	0.4185098059
251	0.4183962253
252	0.4183141816
253	0.4182422271
254	0.418133799
255	0.4180514489
256	0.4179714774
257	0.4178787377
258	0.4177654585
259	0.4176135349
260	0.4174910018
261	0.4174110464
262	0.4173307216
263	0.4172557454
264	0.4171382453
265	0.4170499871
266	0.4169404379
267	0.4168361086
268	0.4167601897
269	0.4166594412
270	0.416586109
271	0.4164692573
272	0.4163443646
273	0.4162565389
274	0.4161085289
275	0.4160202004
276	0.4159216541
277	0.4158357402
278	0.4157573085
279	0.4156836031
280	0.4155752276
281	0.4154673533
282	0.4153429629
283	0.4152329804
284	0.4151383112
285	0.4150131943
286	0.4149452049
287	0.4148086354
288	0.414750406
289	0.4146782916
290	0.4145469026
291	0.4144564738
292	0.4143796942
293	0.4142442516
294	0.4141607726
295	0.4140877012
296	0.4139781359
297	0.4138817293
298	0.4137940107
299	0.4137058927
300	0.4136079656
301	0.4135296258
302	0.4134464399
303	0.4132771752
304	0.4131915128
305	0.4131321716
306	0.4129962754
307	0.4128597013
308	0.4127662782
309	0.4126575401
310	0.4125284424
311	0.4124594116
312	0.4123952275
313	0.4123095373
314	0.4122557096
315	0.4121613874
316	0.4120514418
317	0.4119475529
318	0.4118543523
319	0.4117425394
320	0.4116491776
321	0.4115486669
322	0.4114791389
323	0.4114219147
324	0.411368114
325	0.4113145919
326	0.411188119
327	0.4110737245
328	0.4110028775
329	0.4108527246
330	0.4107602267
331	0.4106778799
332	0.410602249
333	0.4104844935
334	0.4103653667
335	0.4102855203
336	0.4101786083
337	0.4100806302
338	0.4099881841
339	0.4098929702
340	0.409812397
341	0.4097031072
342	0.4095915886
343	0.4095103528
344	0.4094316574
345	0.4093512512
346	0.4092961669
347	0.4091829655
348	0.4090832249
349	0.4089996361
350	0.4088938319
351	0.4087813062
352	0.4086934156
353	0.4086176249
354	0.4085225873
355	0.4084707516
356	0.408358376
357	0.4082542789
358	0.4081979246
359	0.4080749934
360	0.4079631635
361	0.4078760394
362	0.4078143239
363	0.4077082591
364	0.4076336381
365	0.4075492048
366	0.4074242203
367	0.407287732
368	0.4072029866
369	0.4071225905
370	0.4070365824
371	0.4069764615
372	0.4068769191
373	0.4067694178
374	0.4066716528
375	0.4066091711
376	0.4064846525
377	0.4062785654
378	0.4061614484
379	0.4060437737
380	0.405970597
381	0.4059200505
382	0.4058221213
383	0.4057957855
384	0.4057059954
385	0.4055897981
386	0.4055213933
387	0.4054194948
388	0.4053346273
389	0.4053166121
390	0.4052224602
391	0.4051548844
392	0.4050371585
393	0.4049243055
394	0.404859711
395	0.4047423238
396	0.4046234887
397	0.4045225963
398	0.4043938427
399	0.404311767
400	0.4042303362
401	0.4041500762
402	0.4040268415
403	0.4039383894
404	0.4038634465
405	0.4037908125
406	0.4036729307
407	0.4035941344
408	0.4035697143
409	0.4034575673
410	0.4033388237
411	0.4032780655
412	0.4032139996
413	0.4031216416
414	0.4030023536
415	0.4028903304
416	0.4028167806
417	0.4027146408
418	0.4026444398
419	0.4025413684
420	0.4024683527
421	0.4024047669
422	0.4023336943
423	0.4022414704
424	0.4021431388
425	0.4020280824
426	0.4019083343
427	0.4017923925
428	0.4017005261
429	0.4016299149
430	0.4015530697
431	0.4014369449
432	0.401364959
433	0.401304843
434	0.401223029
435	0.4011297312
436	0.4010239535
437	0.4009175212
438	0.4007438915
439	0.4006959565
440	0.4005864908
441	0.4005287746
442	0.4004328266
443	0.4003446457
444	0.4002446406
445	0.4001586147
446	0.400049296
447	0.3999345522
448	0.3998963361
449	0.3998237956
450	0.3997241958
451	0.3996157307
452	0.3995006528
453	0.3993867648
454	0.3992812379
455	0.3992044887
456	0.399105851
457	0.3989855998
458	0.3989013571
459	0.3987908861
460	0.3986938372
461	0.3985798765
462	0.3984722805
463	0.3983939798
464	0.3983141454
465	0.3982273276
466	0.3981372407
467	0.3980324892
468	0.3979178989
469	0.3978020024
470	0.3977534537
471	0.3976567769
472	0.3975926853
473	0.3974991481
474	0.3974281892
475	0.3973457014
476	0.3972923347
477	0.3971948346
478	0.3970957398
479	0.3970181807
480	0.3969199421
481	0.3968268375
482	0.396749684
483	0.3966751948
484	0.3965946276
485	0.3965309925
486	0.396427047
487	0.3963381898
488	0.3962323899
489	0.3961522618
490	0.3960726993
491	0.395999698
492	0.3959361147
493	0.3958661415
494	0.3957999667
495	0.3956827497
496	0.3956176394
497	0.3955114144
498	0.3954298377
499	0.3953120566
500	0.3952227349
501	0.3951223255
502	0.3950159436
503	0.3948677679
504	0.3947816674
505	0.3946759669
506	0.3946058152
507	0.3945253369
508	0.3944844047
509	0.3944025967
510	0.39429248
511	0.3941962235
512	0.394083676
513	0.3939559581
514	0.3938862474
515	0.39384216
516	0.3937388977
517	0.3936540631
518	0.393608482
519	0.3935389515
520	0.3934678079
521	0.3933493929
522	0.3932312266
523	0.3931479872
524	0.3930334764
525	0.3929195314
526	0.3927845642
527	0.3927040146
528	0.3926182704
529	0.3925456431
530	0.3924394298
531	0.392353599
532	0.392309552
533	0.3922148424
534	0.3921164253
535	0.3920328669
536	0.3919381087
537	0.391868924
538	0.391794533
539	0.3917320754
540	0.3916588197
541	0.3915561806
542	0.3914842827
543	0.391388541
544	0.3912910937
545	0.391236206
546	0.3911452
547	0.3910827389
548	0.3909742731
549	0.3908983817
550	0.3908284441
551	0.3907259457
552	0.3906323004
553	0.3905744997
554	0.3904731655
555	0.3903811537
556	0.3902774845
557	0.3901739329
558	0.390086753
559	0.3899809672
560	0.3899085606
561	0.3897852087
562	0.3896779675
563	0.3896176558
564	0.3895632095
565	0.3894597684
566	0.3893929179
567	0.3893056222
568	0.3892160663
569	0.3891456557
570	0.3890718836
571	0.3889700117
572	0.3889208265
573	0.3888414987
574	0.3887789053
575	0.3886731021
576	0.3885581857
577	0.3884757173
578	0.3883821726
579	0.3882952471
580	0.3881867794
581	0.3881106844
582	0.3880146894
583	0.3878858327
584	0.3878182252
585	0.3877163029
586	0.3876993615
587	0.3875832951
588	0.387567009
589	0.3874642068
590	0.3873878815
591	0.3873164043
592	0.3872523306
593	0.3871543109
594	0.3870581017
595	0.3869545649
596	0.3868802126
597	0.3867754917
598	0.386639346
599	0.3865140951
600	0.3864721832
601	0.3864034671
602	0.3862739365
603	0.3861652189
604	0.3860674789
605	0.3859895206
606	0.3859042779
607	0.3858345621
608	0.3857131673
609	0.3856204977
610	0.3855239048
611	0.385444663
612	0.3853492339
613	0.3852897732
614	0.3851902364
615	0.385124429
616	0.3850604623
617	0.3849434805
618	0.3848591795
619	0.3847266793
620	0.384646308
621	0.3845704712
622	0.3844950779
623	0.3844010084
624	0.384299137
625	0.3842327466
626	0.3841573421
627	0.3840327394
628	0.3839518682
629	0.3838523177
630	0.3837929588
631	0.3837222801
632	0.3836676488
633	0.3835726588
634	0.3834819425
635	0.3833891954
636	0.3832948623
637	0.3831967621
638	0.3831444003
639	0.3830648556
640	0.3830251523
641	0.3829696478
642	0.3828781585
643	0.3828151456
644	0.3827188454
645	0.3826527876
646	0.3825336517
647	0.382456847
648	0.3823830028
649	0.3822867968
650	0.3822125239
651	0.3821334569
652	0.3820349128
653	0.3819816903
654	0.3818860823
655	0.3817956495
656	0.3816991628
657	0.381632097
658	0.3815663198
659	0.3815006029
660	0.3814097662
661	0.381332398
662	0.3812237358
663	0.3811788369
664	0.3811067005
665	0.381028193
666	0.3809617573
667	0.3808856146
668	0.3808235673
669	0.3807311289
670	0.3806258136
671	0.3805470304
672	0.3804825644
673	0.3804263425
674	0.3803596959
675	0.3802863647
676	0.3802319582
677	0.3801667881
678	0.3800937612
679	0.3800089769
680	0.3799194197
681	0.3798650324
682	0.3797836844
683	0.3797290811
684	0.3796497408
685	0.3796041332
686	0.379528001
687	0.3794151927
688	0.3793349199
689	0.3792331258
690	0.3791620148
691	0.3790556469
692	0.3789779009
693	0.3788952305
694	0.3788194032
695	0.378732548
696	0.3786753138
697	0.3785982536
698	0.3785157059
699	0.3784354132
700	0.3783514572
701	0.3783038948
702	0.3782502262
703	0.3781691988
704	0.3780933442
705	0.3779951309
706	0.3779185529
707	0.3778066806
708	0.3777284798
709	0.3776416925
710	0.377567055
711	0.3774609585
712	0.3773877015
713	0.3773243208
714	0.3772297988
715	0.377152467
716	0.3770746268
717	0.3769974934
718	0.3769217974
719	0.376833418
720	0.3767616221
721	0.3766597886
722	0.3765444169
723	0.376461448
724	0.3763799033
725	0.3762909897
726	0.3762192657
727	0.3761454286
728	0.3761102254
729	0.3760536551
730	0.3759747929
731	0.3758749694
732	0.3757873983
733	0.3757228977
734	0.3756539811
735	0.3755488443
736	0.3755012621
737	0.3753913959
738	0.3753010138
739	0.3752457528
740	0.3751873557
741	0.3751261264
742	0.3750357424
743	0.37499243
744	0.374910943
745	0.3747969922
746	0.374740343
747	0.3746690877
748	0.3745657406
749	0.3744876944
750	0.3744175161
751	0.3743424253
752	0.3742741341
753	0.3741936216
754	0.3740739687
755	0.373975011
756	0.3739346764
757	0.3738755179
758	0.3738109141
759	0.3737441782
760	0.3736409895
761	0.3735775601
762	0.3734999888
763	0.3734162096
764	0.3733507979
765	0.3732690074
766	0.3731880607
767	0.3731153448
768	0.3729944161
769	0.3728966962
770	0.3728138593
771	0.3727704645
772	0.3726684495
773	0.3725926365
774	0.3725141457
775	0.3724130741
776	0.3723172473
777	0.3722759125
778	0.3721556272
779	0.3720844232
780	0.3719892249
781	0.3719284221
782	0.3718474226
783	0.3717621305
784	0.3716705874
785	0.3716046471
786	0.3715000049
787	0.371438514
788	0.3713644759
789	0.3712968432
790	0.371246687
791	0.37115222
792	0.3710813843
793	0.3710068753
794	0.3709553026
795	0.3708666976
796	0.3707785832
797	0.3706723554
798	0.3705774489
799	0.3704863565
800	0.3704349083
801	0.3703522808
802	0.3702837064
803	0.3702166882
804	0.3701361678
805	0.3701013866
806	0.3700153718
807	0.3699432284
808	0.3698911063
809	0.3698009815
810	0.369736877
811	0.3696816751
812	0.369596593
813	0.3695726432
814	0.3694755029
815	0.3693877794
816	0.3693155649
817	0.3692147328
818	0.3691557569
819	0.3690920897
820	0.3690103847
821	0.3689337755
822	0.3688496691
823	0.3687434988
824	0.3686714977
825	0.368602541
826	0.3685171696
827	0.3684655126
828	0.3683635065
829	0.3683404259
830	0.3682278196
831	0.3681703466
832	0.3680868232
833	0.3680157815
834	0.367957114
835	0.3678894938
836	0.3678230071
837	0.3677368693
838	0.3676988156
839	0.3676446098
840	0.3675399576
841	0.3674520114
842	0.3673985544
843	0.3673343122
844	0.3672710102
845	0.3672040607
846	0.3671624361
847	0.3670908042
848	0.3670304118
849	0.3669268128
850	0.3668813759
851	0.3668285671
852	0.3667351073
853	0.3666876257
854	0.3666078987
855	0.366519875
856	0.3664439466
857	0.3663821743
858	0.3663373407
859	0.3662689728
860	0.3661713132
861	0.3660848091
862	0.3660085728
863	0.3659170791
864	0.3658236621
865	0.3657163231
866	0.3656247875
867	0.3655704938
868	0.3654816926
869	0.3654281259
870	0.3653615091
871	0.3652488084
872	0.3651701797
873	0.3651262503
874	0.365082862
875	0.3650218863
876	0.3649404071
877	0.3648897425
878	0.3648125153
879	0.3647118353
880	0.3646213169
881	0.3645468849
882	0.3644647355
883	0.3643958813
884	0.3643149243
885	0.3642510964
886	0.3641630328
887	0.3641074499
888	0.3640364676
889	0.3639912181
890	0.3638981249
891	0.3638560794
892	0.3637695233
893	0.3636783092
894	0.3636061568
895	0.3635601554
896	0.3634840165
897	0.3634239168
898	0.3633483005
899	0.3632645598
900	0.3631766731
901	0.3630757168
902	0.3629837761
903	0.3628998916
904	0.3628357719
905	0.3627428963
906	0.3626677755
907	0.3625843476
908	0.362554887
909	0.3624715961
910	0.3624144843
911	0.3623763861
912	0.3623074946
913	0.3622498182
914	0.3621588972
915	0.3620736342
916	0.3619915582
917	0.3619781798
918	0.3619181414
919	0.3618465258
920	0.3617819524
921	0.3617224958
922	0.361630145
923	0.3615585025
924	0.3614799944
925	0.3614338665
926	0.3613611319
927	0.3612818141
928	0.3612378561
929	0.3611778035
930	0.3610923807
931	0.3610460547
932	0.3609728603
933	0.3608584289
934	0.3608042213
935	0.3607041846
936	0.3606426376
937	0.3605902144
938	0.3605582005
939	0.3604774453
940	0.3603733506
941	0.3602893343
942	0.360237496
943	0.3601566934
944	0.3600960176
945	0.3600378795
946	0.3599417406
947	0.3599084133
948	0.359824811
949	0.3597686694
950	0.359716598
951	0.3596425767
952	0.3595269287
953	0.3594754258
954	0.3594141849
955	0.3593446716
956	0.35925727
957	0.3591918993
958	0.3591014343
959	0.35901345
960	0.3589309099
961	0.358903261
962	0.3587876107
963	0.358683662
964	0.3586126818
965	0.3585212777
966	0.3584382391
967	0.3583767126
968	0.3583364485
969	0.3582645189
970	0.3581957359
971	0.3581330277
972	0.3580711186
973	0.3579950663
974	0.3579374463
975	0.3578456226
976	0.3577544037
977	0.3576585667
978	0.3575835702
979	0.3575479073
980	0.3574948242
981	0.3574349982
982	0.3573686482
983	0.3573551858
984	0.3572763407
985	0.3572063281
986	0.3571233807
987	0.3570657376
988	0.3570197697
989	0.3569287433
990	0.3568399435
991	0.3567629214
992	0.3566717817
993	0.3566048269
994	0.3565375706
995	0.3564701099
996	0.3564341648
997	0.3563647813
998	0.3562562696
999	0.356168822
